sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
home,56,4714,4772,8291,290,8852,0.0,0.1953561062737218,2.3877262457004216
login,55,18933,18767,23899,10087,27433,0.0,0.1854743252949885,15.075795769162028
search forums,30,4444,5029,7977,125,8966,0.0,0.10867163416781074,1.5104154403374617
view topic,29,4160,3580,8306,426,9065,0.2413793103448276,0.11514059063152629,1.9541990148035064
choose forum,22,4241,3838,7528,541,8758,0.0,0.08389229754309967,0.9264982222936154
choose topic,22,4476,4889,7379,292,9039,0.0,0.08136606221544994,1.8607069069616065
logout,48,13435,13350,18922,5853,20754,0.0,0.17547964436125407,13.100284474666955
post reply ,20,22644,22595,27162,17080,28137,0.0,0.07951432649377602,2.8872513872765153
TOTAL,282,10102,7744,21023,125,28137,0.024822695035460994,0.940548653381139,37.08777060055866
